Team 1,Team 2,Team 1 Score,Team 2 Score,Score Difference,Margin Type,Ground,Pitch Type
Australia,England,286,253,33, runs,Ahmedabad,Flat Track Pitch
Australia,Pakistan,367,305,62, runs,Bengaluru,Flat Track Pitch
New Zealand,Pakistan,200,401,21, runs,Bengaluru,Flat Track Pitch
India,Netherlands,410,250,160, runs,Bengaluru,Flat Track Pitch
Bangladesh,India,286,314,28, runs,Birmingham,Flat Track Pitch
England,India,337,306,31, runs,Birmingham,Flat Track Pitch
England,Bangladesh,173,172,106, runs,Cardiff,Flat Track Pitch
Afghanistan,Sri Lanka,152,201,34, runs,Cardiff,Flat Track Pitch
Afghanistan,New Zealand,139,288,149, runs,Chennai,Dry Pitch
England,New Zealand,305,186,119, runs,Chester-le-Street,Green Pitch
Sri Lanka,West Indies,338,315,23, runs,Chester-le-Street,Green Pitch
South Africa,Sri Lanka,428,326,102, runs,Delhi,Dry Pitch
Afghanistan,England,284,215,69, runs,Delhi,Dry Pitch
Australia,Netherlands,399,90,309, runs,Delhi,Dry Pitch
Bangladesh,England,227,364,137, runs,Dharamsala,Green Pitch
Netherlands,South Africa,245,207,38, runs,Dharamsala,Green Pitch
Australia,New Zealand,388,142,5, runs,Dharamsala,Green Pitch
Bangladesh,Netherlands,229,383,87, runs,Eden Gardens,Dusty Pitch
India,South Africa,326,83,243, runs,Eden Gardens,Dusty Pitch
England,Pakistan,337,244,93, runs,Eden Gardens,Dusty Pitch
Netherlands,Pakistan,205,286,81, runs,Hyderabad,Flat Track Pitch
Netherlands,New Zealand,223,332,99, runs,Hyderabad,Flat Track Pitch
Afghanistan,West Indies,288,311,23, runs,Leeds,Green Pitch
England,Sri Lanka,212,232,20, runs,Leeds,Green Pitch
Bangladesh,Pakistan,221,315,94, runs,Lord's,Flat Track Pitch
Australia,New Zealand,227,157,86, runs,Lord's,Flat Track Pitch
England,Australia,221,285,64, runs,Lord's,Flat Track Pitch
Pakistan,South Africa,308,259,49, runs,Lord's,Flat Track Pitch
Australia,South Africa,177,311,134, runs,Lucknow,Flat Track Pitch
India,England,129,229,100, runs,Lucknow,Flat Track Pitch
India,New Zealand,221,239,18, runs,Manchester,Flat Track Pitch
Australia,South Africa,315,325,10, runs,Manchester,Flat Track Pitch
India,West Indies,268,143,125, runs,Manchester,Flat Track Pitch
New Zealand,West Indies,224,213,5, runs,Manchester,Flat Track Pitch
England,Afghanistan,397,247,150, runs,Manchester,Flat Track Pitch
India,Pakistan,336,212,89, runs,Manchester,Flat Track Pitch
Australia,Bangladesh,381,333,48, runs,Nottingham,Green Pitch
Australia,West Indies,288,273,15, runs,Nottingham,Green Pitch
England,Pakistan,334,348,14, runs,Nottingham,Green Pitch
New Zealand,South Africa,167,357,190, runs,Pune,Dusty Pitch
England,Netherlands,339,179,160, runs,Pune,Dusty Pitch
Afghanistan,Bangladesh,200,262,62, runs,Southampton,Flat Track Pitch
Afghanistan,India,286,291,11, runs,Southampton,Flat Track Pitch
