mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,score_difference,total
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Sohail Tanvir,0,0,0.1,0,0,0,0,136,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Sohail Tanvir,1,0,0.2,1,0,1,0,135,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Sohail Tanvir,2,0,0.3,2,0,1,1,134,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Sohail Tanvir,3,0,0.4,3,0,2,1,133,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Sohail Tanvir,4,0,0.5,4,0,2,2,132,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Sohail Tanvir,4,0,0.6,4,0,2,2,132,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Mohammad Irfan (4),4,0,1.1,4,0,2,2,132,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Mohammad Irfan (4),5,0,1.1,5,0,2,2,131,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Mohammad Irfan (4),6,0,1.2,6,0,2,2,130,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Mohammad Irfan (4),7,0,1.3,7,0,3,2,129,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Mohammad Irfan (4),8,0,1.4,8,0,3,3,128,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Mohammad Irfan (4),12,0,1.5,12,0,7,3,124,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Asad Shafiq,Mohammad Irfan (4),12,0,1.6,12,0,7,3,124,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Sohail Tanvir,12,0,2.1,12,0,7,3,124,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Sohail Tanvir,14,0,2.2,14,0,7,5,122,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Ahmed Shehzad,Sohail Tanvir,14,1,2.3,14,1,7,5,122,136
1384,10/02/2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,KP Pietersen,Sohail Tanvir,16,1,2.4,16,1,7,2,120,136
