iter	Passed	Remaining
0	177	355444
1	227	227314
2	322	214494
3	377	188418
4	413	164876
5	444	147819
6	470	133839
7	495	123445
8	519	115014
9	547	108864
10	574	103820
11	599	99299
12	628	96073
13	655	92950
14	687	90915
15	717	88928
16	764	89231
17	792	87289
18	821	85674
19	845	83726
20	871	82095
21	896	80621
22	926	79604
23	954	78594
24	984	77801
25	1011	76822
26	1042	76200
27	1071	75469
28	1100	74767
29	1133	74428
30	1169	74260
31	1201	73890
32	1233	73497
33	1265	73168
34	1299	72972
35	1333	72760
36	1371	72750
37	1409	72795
38	1445	72702
39	1487	72894
40	1520	72666
41	1557	72606
42	1587	72234
43	1625	72256
44	1662	72216
45	1693	71944
46	1726	71734
47	1755	71377
48	1784	71049
49	1810	70593
50	1836	70199
51	1869	70043
52	1900	69830
53	1928	69485
54	1954	69130
55	1981	68778
56	2011	68558
57	2037	68220
58	2068	68043
59	2094	67724
60	2122	67474
61	2145	67078
62	2172	66802
63	2197	66467
64	2226	66294
65	2252	66016
66	2281	65816
67	2308	65576
68	2336	65392
69	2360	65076
70	2388	64885
71	2411	64563
72	2439	64408
73	2469	64278
74	2502	64220
75	2526	63962
76	2556	63846
77	2584	63693
78	2612	63536
79	2637	63305
80	2665	63153
81	2695	63055
82	2722	62876
83	2829	64538
84	2862	64487
85	2894	64414
86	2932	64470
87	2963	64379
88	2986	64136
89	3011	63911
90	3036	63705
91	3065	63577
92	3091	63383
93	3120	63267
94	3144	63062
95	3169	62862
96	3198	62747
97	3226	62615
98	3255	62505
99	3286	62452
100	3317	62373
101	3344	62226
102	3371	62096
103	3397	61931
104	3424	61806
105	3448	61621
106	3473	61450
107	3509	61487
108	3538	61391
109	3565	61262
110	3593	61152
111	3622	61060
112	3654	61022
113	3684	60956
114	3712	60850
115	3741	60762
116	3772	60718
117	3804	60684
118	3839	60693
119	3868	60606
120	3935	61119
121	3961	60983
122	3988	60870
123	4018	60795
124	4048	60720
125	4083	60733
126	4113	60671
127	4150	60696
128	4183	60670
129	4212	60589
130	4240	60493
131	4267	60398
132	4293	60273
133	4324	60218
134	4356	60183
135	4398	60279
136	4424	60164
137	4449	60030
138	4477	59950
139	4505	59862
140	4530	59730
141	4555	59608
142	4575	59414
143	4600	59297
144	4628	59208
145	4660	59179
146	4685	59062
147	4715	59008
148	4743	58923
149	4772	58859
150	4798	58762
151	4823	58646
152	4850	58553
153	4881	58511
154	4909	58441
155	4934	58334
156	4965	58285
157	4993	58217
158	5018	58112
159	5050	58075
160	5076	57988
161	5104	57915
162	5133	57849
163	5158	57748
164	5186	57676
165	5214	57611
166	5240	57517
167	5272	57491
168	5298	57405
169	5331	57387
170	5360	57338
171	5381	57190
172	5410	57141
173	5438	57078
174	5476	57116
175	5513	57141
176	5543	57095
177	5574	57062
178	5602	56994
179	5629	56923
180	5654	56822
181	5680	56744
182	5714	56736
183	5745	56706
184	5773	56638
185	5801	56577
186	5830	56524
187	5864	56522
188	5907	56608
189	5941	56598
190	6015	56977
191	6062	57092
192	6101	57126
193	6135	57116
194	6167	57087
195	6199	57062
196	6236	57076
197	6264	57012
198	6293	56957
199	6324	56923
200	6351	56849
201	6377	56763
202	6404	56696
203	6433	56636
204	6459	56560
205	6493	56549
206	6524	56515
207	6553	56464
208	6582	56410
209	6611	56358
210	6642	56322
211	6671	56271
212	6700	56211
213	6729	56162
214	6757	56099
215	6784	56038
216	6812	55978
217	6841	55921
218	6875	55910
219	6906	55876
220	6939	55864
221	6965	55786
222	6990	55702
223	7020	55664
224	7054	55649
225	7083	55605
226	7115	55572
227	7142	55511
228	7169	55446
229	7196	55383
230	7223	55313
231	7252	55266
232	7277	55188
233	7301	55103
234	7325	55016
235	7352	54953
236	7383	54926
237	7410	54863
238	7442	54834
239	7460	54708
240	7484	54625
241	7508	54542
242	7534	54480
243	7565	54446
244	7590	54369
245	7617	54315
246	7643	54247
247	7668	54176
248	7696	54119
249	7720	54044
250	7750	54004
251	7785	54006
252	7824	54029
253	7861	54042
254	7889	53986
255	7924	53984
256	7953	53942
257	7981	53893
258	8006	53818
259	8034	53767
260	8066	53743
261	8091	53675
262	8109	53561
263	8128	53453
264	8149	53359
265	8172	53273
266	8193	53179
267	8218	53111
268	8238	53011
269	8259	52918
270	8280	52827
271	8304	52759
272	8333	52720
273	8361	52668
274	8386	52606
275	8416	52571
276	8441	52506
277	8468	52453
278	8496	52411
279	8522	52352
280	8547	52289
281	8574	52234
282	8599	52172
283	8627	52130
284	8655	52087
285	8685	52054
286	8714	52011
287	8741	51963
288	8764	51892
289	8794	51858
290	8826	51839
291	8867	51868
292	8905	51882
293	8929	51816
294	8957	51770
295	8985	51725
296	9015	51697
297	9039	51627
298	9063	51562
299	9087	51493
300	9117	51464
301	9143	51410
302	9172	51374
303	9200	51327
304	9231	51304
305	9256	51244
306	9281	51184
307	9309	51139
308	9402	51453
309	9429	51404
310	9458	51365
311	9484	51312
312	9512	51270
313	9543	51240
314	9565	51170
315	9592	51117
316	9618	51068
317	9644	51011
318	9670	50960
319	9694	50896
320	9717	50830
321	9743	50777
322	9770	50729
323	9796	50677
324	9823	50626
325	9852	50590
326	9879	50543
327	9909	50513
328	9934	50458
329	9959	50399
330	9984	50344
331	10010	50291
332	10039	50256
333	10067	50216
334	10098	50188
335	10129	50166
336	10154	50109
337	10180	50058
338	10206	50009
339	10235	49974
340	10263	49930
341	10299	49930
342	10343	49968
343	10370	49924
344	10395	49870
345	10420	49815
346	10447	49766
347	10471	49710
348	10495	49652
349	10521	49601
350	10544	49537
351	10568	49480
352	10593	49424
353	10620	49382
354	10647	49337
355	10673	49289
356	10696	49229
357	10721	49173
358	10748	49130
359	10775	49090
360	10797	49023
361	10820	48961
362	10849	48926
363	10876	48883
364	10901	48832
365	10926	48781
366	10951	48728
367	10974	48669
368	10999	48617
369	11022	48557
370	11044	48494
371	11066	48430
372	11085	48356
373	11106	48285
374	11125	48210
375	11149	48156
376	11169	48085
377	11191	48023
378	11215	47968
379	11242	47926
380	11266	47875
381	11289	47817
382	11315	47771
383	11341	47727
384	11365	47677
385	11392	47634
386	11416	47585
387	11438	47521
388	11457	47449
389	11476	47377
390	11498	47315
391	11517	47246
392	11541	47192
393	11559	47119
394	11579	47051
395	11605	47006
396	11624	46939
397	11648	46885
398	11670	46826
399	11694	46779
400	11718	46728
401	11744	46686
402	11763	46615
403	11793	46590
404	11822	46560
405	11851	46528
406	11873	46472
407	11895	46416
408	11920	46368
409	11943	46316
410	11966	46266
411	11993	46227
412	12016	46174
413	12043	46135
414	12066	46085
415	12086	46021
416	12110	45973
417	12131	45914
418	12152	45853
419	12176	45805
420	12199	45754
421	12222	45705
422	12246	45656
423	12270	45607
424	12296	45567
425	12320	45522
426	12342	45466
427	12364	45413
428	12387	45362
429	12414	45329
430	12440	45287
431	12463	45238
432	12484	45181
433	12508	45136
434	12536	45101
435	12557	45046
436	12580	44995
437	12601	44938
438	12619	44873
439	12643	44827
440	12668	44784
441	12689	44727
442	12713	44682
443	12735	44630
444	12755	44573
445	12778	44525
446	12803	44483
447	12823	44425
448	12847	44379
449	12874	44347
450	12900	44308
451	12916	44237
452	12944	44206
453	12968	44161
454	12986	44098
455	13009	44050
456	13034	44008
457	13053	43947
458	13077	43906
459	13100	43859
460	13125	43819
461	13147	43768
462	13169	43719
463	13191	43667
464	13212	43616
465	13232	43558
466	13257	43521
467	13287	43495
468	13317	43472
469	13341	43429
470	13362	43376
471	13380	43316
472	13398	43253
473	13425	43221
474	13445	43167
475	13469	43124
476	13491	43076
477	13513	43027
478	13540	42996
479	13564	42955
480	13600	42949
481	13631	42931
482	13664	42915
483	13698	42907
484	13744	42933
485	13771	42901
486	13799	42872
487	13829	42848
488	13858	42822
489	13883	42783
490	13915	42766
491	13970	42821
492	14002	42801
493	14041	42807
494	14084	42821
495	14124	42830
496	14186	42900
497	14213	42868
498	14246	42853
499	14279	42838
500	14307	42809
501	14335	42776
502	14390	42827
503	14424	42816
504	14456	42798
505	14486	42771
506	14516	42747
507	14546	42721
508	14582	42715
509	14613	42694
510	14648	42683
511	14688	42688
512	14717	42661
513	14748	42639
514	14777	42611
515	14805	42580
516	14836	42557
517	14868	42540
518	14905	42534
519	14932	42500
520	14967	42487
521	15000	42472
522	15036	42464
523	15062	42426
524	15105	42440
525	15134	42412
526	15165	42387
527	15197	42367
528	15223	42333
529	15251	42301
530	15274	42257
531	15310	42247
532	15339	42218
533	15378	42219
534	15409	42196
535	15444	42184
536	15477	42167
537	15507	42142
538	15540	42124
539	15571	42101
540	15599	42070
541	15626	42035
542	15654	42005
543	15682	41974
544	15712	41948
545	15774	42008
546	15814	42007
547	15852	42002
548	15892	42004
549	15932	42002
550	15971	42002
551	16006	41988
552	16065	42038
553	16108	42045
554	16148	42045
555	16202	42079
556	16244	42084
557	16282	42076
558	16324	42081
559	16371	42098
560	16408	42087
561	16448	42086
562	16489	42087
563	16526	42078
564	16558	42056
565	16668	42229
566	16716	42247
567	16747	42223
568	16787	42220
569	16818	42194
570	16850	42170
571	16887	42160
572	16925	42150
573	16959	42133
574	16991	42110
575	17024	42087
576	17051	42052
577	17088	42041
578	17117	42010
579	17146	41978
580	17172	41942
581	17201	41909
582	17226	41869
583	17252	41831
584	17280	41798
585	17302	41750
586	17329	41714
587	17356	41680
588	17385	41647
589	17411	41610
590	17430	41556
591	17452	41508
592	17474	41460
593	17492	41405
594	17513	41355
595	17534	41305
596	17554	41254
597	17582	41222
598	17615	41199
599	17642	41166
600	17668	41127
601	17693	41087
602	17713	41036
603	17739	40999
604	17767	40967
605	17796	40936
606	17822	40900
607	17850	40868
608	17875	40829
609	17901	40792
610	17926	40753
611	17949	40710
612	17974	40670
613	18001	40634
614	18034	40614
615	18061	40580
616	18092	40553
617	18118	40517
618	18146	40486
619	18174	40453
620	18197	40408
621	18224	40376
622	18249	40336
623	18275	40299
624	18303	40267
625	18329	40230
626	18354	40191
627	18377	40150
628	18402	40112
629	18425	40068
630	18447	40023
631	18471	39983
632	18498	39948
633	18518	39899
634	18546	39867
635	18577	39841
636	18606	39812
637	18647	39808
638	18673	39771
639	18700	39739
640	18727	39705
641	18757	39676
642	18781	39637
643	18802	39590
644	18825	39547
645	18848	39505
646	18868	39458
647	18892	39417
648	18910	39365
649	18940	39338
650	18967	39304
651	18990	39262
652	19019	39233
653	19042	39190
654	19066	39151
655	19088	39108
656	19115	39075
657	19141	39039
658	19169	39008
659	19196	38975
660	19218	38931
661	19237	38882
662	19263	38846
663	19287	38807
664	19312	38769
665	19334	38726
666	19360	38691
667	19389	38663
668	19416	38629
669	19440	38591
670	19463	38549
671	19487	38511
672	19512	38475
673	19539	38441
674	19566	38408
675	19592	38372
676	19618	38338
677	19647	38309
678	19671	38270
